Year,Month ,Sales (Y),Date 
1,Jan ,189,1/1/2000
,Feb,229,1/2/2000
,Mar,249,1/3/2000
,Apr,289,1/4/2000
,May,260,1/5/2000
,Jun,431,1/6/2000
,Jul,660,1/7/2000
,Aug,777,1/8/2000
,Sep,915,1/9/2000
,Oct,613,1/10/2000
,Nov,485,1/11/2000
,Dec,277,1/12/2000
2,Jan,244,1/1/2001
,Feb,296,1/2/2001
,Mar,319,1/3/2001
,Apr,370,1/4/2001
,May,313,1/5/2001
,Jun,556,1/6/2001
,Jul,831,1/7/2001
,Aug,960,1/8/2001
,Sep,1152,1/9/2001
,Oct,759,1/10/2001
,Nov,607,1/11/2001
,Dec,371,1/12/2001
3,Jan,298,1/1/2002
,Feb,378,1/2/2002
,Mar,373,1/3/2002
,Apr,443,1/4/2002
,May,374,1/5/2002
,Jun,660,1/6/2002
,Jul,1004,1/7/2002
,Aug,1153,1/8/2002
,Sep,1388,1/9/2002
,Oct,904,1/10/2002
,Nov,715,1/11/2002
,Dec,441,1/12/2002
