Year,Month,Electricity 
1,2005-01,448.1
1,2005-02,437.4
1,2005-03,480
1,2005-04,533.9
1,2005-05,535.3
1,2005-06,560.6
1,2005-07,537.7
1,2005-08,529.1
1,2005-09,516.7
1,2005-10,520.4
1,2005-11,518.9
1,2005-12,478.3
2,2006-01,465.9
2,2006-02,452.7
2,2006-03,470.4
2,2006-04,511.8
2,2006-05,522.4
2,2006-06,533.8
2,2006-07,513.8
2,2006-08,544.9
2,2006-09,542
2,2006-10,526.4
2,2006-11,535.8
2,2006-12,495.6
3,2007-01,474.2
3,2007-02,445
3,2007-03,452.4
3,2007-04,511.7
3,2007-05,543.5
3,2007-06,556.8
3,2007-07,563.9
3,2007-08,555.8
3,2007-09,514.4
3,2007-10,515.5
3,2007-11,548.7
3,2007-12,490.7
4,2008-01,467.9
4,2008-02,473.6
4,2008-03,450.2
4,2008-04,492.3
4,2008-05,544.8
4,2008-06,573.5
4,2008-07,526.7
4,2008-08,510.9
4,2008-09,520
4,2008-10,523
4,2008-11,536.4
4,2008-12,484.9
5,2009-01,477.2
5,2009-02,461.3
5,2009-03,462
5,2009-04,511.4
5,2009-05,557.5
5,2009-06,610.5
5,2009-07,593.6
5,2009-08,573.1
5,2009-09,555.8
5,2009-10,558.3
5,2009-11,563.9
5,2009-12,516.9
6,2010-01,491.5
6,2010-02,504.8
6,2010-03,548.5
6,2010-04,586
6,2010-05,574.5
6,2010-06,607
6,2010-07,576.2
6,2010-08,540.6
6,2010-09,540.1
6,2010-10,558.7
6,2010-11,582.4
6,2010-12,537.1
7,2011-01,500.2
7,2011-02,462.6
7,2011-03,466.6
7,2011-04,525.3
7,2011-05,566
7,2011-06,603.8
7,2011-07,587
7,2011-08,591.6
7,2011-09,583.6
7,2011-10,558.7
7,2011-11,542
7,2011-12,506.8
8,2012-01,504.2
8,2012-02,505.9
8,2012-03,509.5
8,2012-04,541.8
8,2012-05,558.1
8,2012-06,608.9
8,2012-07,595.8
8,2012-08,586.5
8,2012-09,574.2
8,2012-10,561.1
8,2012-11,569.1
8,2012-12,525.8
9,2013-01,514
9,2013-02,498.9
9,2013-03,499.1
9,2013-04,569.2
9,2013-05,602.7
9,2013-06,630.6
9,2013-07,612.9
9,2013-08,618.6
9,2013-09,561.6
9,2013-10,555.8
9,2013-11,571.7
9,2013-12,531
