t,Yt,Yt_trans,t,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
1,501,4.731070628,1,1,0,0,0,0,0,0,0,0,0,0
2,488,4.700076812,2,0,1,0,0,0,0,0,0,0,0,0
3,504,4.738137221,3,0,0,1,0,0,0,0,0,0,0,0
4,578,4.903226546,4,0,0,0,1,0,0,0,0,0,0,0
5,545,4.831690704,5,0,0,0,0,1,0,0,0,0,0,0
6,632,5.013941581,6,0,0,0,0,0,1,0,0,0,0,0
7,728,5.19436956,7,0,0,0,0,0,0,1,0,0,0,0
8,725,5.189009928,8,0,0,0,0,0,0,0,1,0,0,0
9,585,4.918005007,9,0,0,0,0,0,0,0,0,1,0,0
10,542,4.825027819,10,0,0,0,0,0,0,0,0,0,1,0
11,480,4.680694639,11,0,0,0,0,0,0,0,0,0,0,1
12,530,4.798096379,12,0,0,0,0,0,0,0,0,0,0,0
13,518,4.770703654,13,1,0,0,0,0,0,0,0,0,0,0
14,489,4.70248279,14,0,1,0,0,0,0,0,0,0,0,0
15,528,4.793563454,15,0,0,1,0,0,0,0,0,0,0,0
16,599,4.947168534,16,0,0,0,1,0,0,0,0,0,0,0
17,572,4.890452074,17,0,0,0,0,1,0,0,0,0,0,0
18,659,5.066655239,18,0,0,0,0,0,1,0,0,0,0,0
19,739,5.213880938,19,0,0,0,0,0,0,1,0,0,0,0
20,758,5.247075356,20,0,0,0,0,0,0,0,1,0,0,0
21,602,4.953351218,21,0,0,0,0,0,0,0,0,1,0,0
22,587,4.922203051,22,0,0,0,0,0,0,0,0,0,1,0
23,497,4.721598967,23,0,0,0,0,0,0,0,0,0,0,1
24,558,4.860249337,24,0,0,0,0,0,0,0,0,0,0,0
25,555,4.853703532,25,1,0,0,0,0,0,0,0,0,0,0
26,523,4.782174532,26,0,1,0,0,0,0,0,0,0,0,0
27,532,4.802616494,27,0,0,1,0,0,0,0,0,0,0,0
28,623,4.995995191,28,0,0,0,1,0,0,0,0,0,0,0
29,598,4.945102478,29,0,0,0,0,1,0,0,0,0,0,0
30,683,5.112168688,30,0,0,0,0,0,1,0,0,0,0,0
31,774,5.274547894,31,0,0,0,0,0,0,1,0,0,0,0
32,780,5.284740305,32,0,0,0,0,0,0,0,1,0,0,0
33,609,4.96768813,33,0,0,0,0,0,0,0,0,1,0,0
34,604,4.957460182,34,0,0,0,0,0,0,0,0,0,1,0
35,531,4.800358033,35,0,0,0,0,0,0,0,0,0,0,1
36,592,4.932651429,36,0,0,0,0,0,0,0,0,0,0,0
37,578,4.903226546,37,1,0,0,0,0,0,0,0,0,0,0
38,543,4.827251847,38,0,1,0,0,0,0,0,0,0,0,0
39,565,4.875420869,39,0,0,1,0,0,0,0,0,0,0,0
40,648,5.045378492,40,0,0,0,1,0,0,0,0,0,0,0
41,615,4.979878868,41,0,0,0,0,1,0,0,0,0,0,0
42,697,5.138166751,42,0,0,0,0,0,1,0,0,0,0,0
43,785,5.293189157,43,0,0,0,0,0,0,1,0,0,0,0
44,830,5.367468731,44,0,0,0,0,0,0,0,1,0,0,0
45,645,5.039528767,45,0,0,0,0,0,0,0,0,1,0,0
46,643,5.035617605,46,0,0,0,0,0,0,0,0,0,1,0
47,551,4.844934384,47,0,0,0,0,0,0,0,0,0,0,1
48,606,4.961558954,48,0,0,0,0,0,0,0,0,0,0,0
49,585,4.918005007,49,1,0,0,0,0,0,0,0,0,0,0
50,553,4.849324905,50,0,1,0,0,0,0,0,0,0,0,0
51,576,4.898979486,51,0,0,1,0,0,0,0,0,0,0,0
52,665,5.07814867,52,0,0,0,1,0,0,0,0,0,0,0
53,656,5.060879069,53,0,0,0,0,1,0,0,0,0,0,0
54,720,5.180040128,54,0,0,0,0,0,1,0,0,0,0,0
55,826,5.360990182,55,0,0,0,0,0,0,1,0,0,0,0
56,838,5.380355904,56,0,0,0,0,0,0,0,1,0,0,0
57,652,5.053146611,57,0,0,0,0,0,0,0,0,1,0,0
58,661,5.070495071,58,0,0,0,0,0,0,0,0,0,1,0
59,584,4.915901946,59,0,0,0,0,0,0,0,0,0,0,1
60,644,5.037574325,60,0,0,0,0,0,0,0,0,0,0,0
61,623,4.995995191,61,1,0,0,0,0,0,0,0,0,0,0
62,553,4.849324905,62,0,1,0,0,0,0,0,0,0,0,0
63,599,4.947168534,63,0,0,1,0,0,0,0,0,0,0,0
64,657,5.062806656,64,0,0,0,1,0,0,0,0,0,0,0
65,680,5.106545762,65,0,0,0,0,1,0,0,0,0,0,0
