Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,SMA,SexpA
1/1/1995,465.25,13.18,31.25,150.3,7.78,744.31,21.09,49.99,,
1/2/1995,481.92,13.18,31.9,150.9,7.47,767.92,21,50.83,,
1/3/1995,493.15,13.17,32.55,151.4,7.2,783.21,20.92,51.7,,
1/4/1995,507.91,13.24,33.18,151.9,7.06,804,20.96,52.52,,
1/5/1995,523.81,13.31,33.8,152.2,6.63,827.54,21.02,53.4,494.408,
1/6/1995,539.35,13.36,34.43,152.5,6.17,850.41,21.07,54.29,509.228,
1/7/1995,557.37,13.44,34.68,152.5,6.28,878.82,21.19,54.68,524.318,
1/8/1995,559.11,13.51,34.93,152.9,6.49,879.26,21.25,54.93,537.51,
1/9/1995,578.77,13.58,35.18,153.2,6.2,908.4,21.31,55.22,551.682,
1/10/1995,582.92,13.65,34.77,153.7,6.04,911.93,21.35,54.4,563.504,
1/11/1995,595.53,13.72,34.37,153.6,5.93,932.27,21.48,53.8,574.74,
1/12/1995,614.57,13.79,33.96,153.5,5.71,962.7,21.6,53.2,586.18,
1/1/1996,614.42,13.89,33.99,154.4,5.65,956.85,21.64,52.93,597.242,
1/2/1996,649.54,14,34.01,154.9,5.81,1008.28,21.73,52.8,611.396,
1/3/1996,647.07,14.1,34.04,155.7,6.27,999.29,21.77,52.57,624.226,
1/4/1996,647.17,14.16,34.33,156.3,6.51,995.6,21.78,52.81,634.554,
1/5/1996,661.23,14.21,34.62,156.6,6.74,1015.29,21.82,53.16,643.886,
1/6/1996,668.5,14.27,34.91,156.7,6.91,1025.79,21.9,53.57,654.702,
1/7/1996,644.07,14.4,35.27,157,6.87,986.42,22.05,54.02,653.608,
1/8/1996,662.68,14.53,35.64,157.3,6.64,1012.98,22.21,54.47,656.73,
1/9/1996,674.88,14.66,36,157.8,6.83,1028.36,22.34,54.86,662.272,
1/10/1996,701.46,14.74,36.91,158.3,6.53,1065.49,22.39,56.06,670.318,
1/11/1996,735.67,14.82,37.82,158.6,6.2,1115.34,22.47,57.34,683.752,
1/12/1996,743.25,14.9,38.73,158.6,6.3,1126.83,22.59,58.72,703.588,
1/1/1997,766.22,14.95,39.23,159.1,6.58,1158.01,22.6,59.29,724.296,
1/2/1997,798.39,15.01,39.74,159.6,6.42,1202.85,22.61,59.87,748.998,
1/3/1997,792.16,15.06,40.24,160,6.69,1190.48,22.63,60.47,767.138,
1/4/1997,763.93,15.09,40.34,160.2,6.89,1146.62,22.65,60.55,772.79,
1/5/1997,833.09,15.13,40.45,160.1,6.71,1251.2,22.72,60.75,790.758,
1/6/1997,876.29,15.16,40.55,160.3,6.49,1314.44,22.74,60.83,812.772,
1/7/1997,925.29,15.22,40.58,160.5,6.22,1386.21,22.8,60.79,838.152,
1/8/1997,927.24,15.27,40.61,160.8,6.3,1386.54,22.84,60.73,865.168,
1/9/1997,937.02,15.33,40.64,161.2,6.21,1397.69,22.87,60.62,899.786,
1/10/1997,951.16,15.39,40.33,161.6,6.03,1415.27,22.89,60.01,923.4,
1/11/1997,938.92,15.44,40.03,161.5,5.88,1397.92,22.99,59.59,935.926,
1/12/1997,962.37,15.5,39.72,161.3,5.81,1434.61,23.11,59.21,943.342,
1/1/1998,963.36,15.55,39.66,161.6,5.54,1433.42,23.14,59.01,950.566,
1/2/1998,1023.74,15.6,39.6,161.9,5.57,1520.44,23.17,58.81,967.91,
1/3/1998,1076.83,15.64,39.54,162.2,5.65,1596.33,23.19,58.62,993.044,
1/4/1998,1112.2,15.75,39.35,162.5,5.64,1645.72,23.31,58.23,1027.7,
1/5/1998,1108.42,15.85,39.16,162.8,5.65,1637.11,23.41,57.84,1056.91,
1/6/1998,1108.39,15.95,38.97,163,5.5,1635.06,23.53,57.49,1085.916,
1/7/1998,1156.58,16.02,38.68,163.2,5.46,1704.05,23.6,56.98,1112.484,
1/8/1998,1074.62,16.08,38.38,163.4,5.34,1581.36,23.67,56.48,1112.042,
1/9/1998,1020.64,16.14,38.09,163.6,4.81,1500.09,23.72,55.98,1093.73,
1/10/1998,1032.47,16.17,37.96,164,4.53,1513.77,23.7,55.66,1078.54,
1/11/1998,1144.43,16.18,37.84,164,4.83,1677.93,23.73,55.47,1085.748,
1/12/1998,1190.05,16.2,37.71,163.9,4.65,1745.88,23.77,55.32,1092.442,
1/1/1999,1248.77,16.28,37.93,164.3,4.72,1827.56,23.83,55.52,1127.272,
1/2/1999,1246.58,16.37,38.16,164.5,5,1822.14,23.92,55.77,1172.46,
1/3/1999,1281.66,16.45,38.38,165,5.23,1867.74,23.97,55.93,1222.298,
1/4/1999,1334.76,16.45,39.26,166.2,5.18,1931.08,23.8,56.8,1260.364,
1/5/1999,1332.07,16.45,40.14,166.2,5.54,1927.19,23.8,58.07,1288.768,
1/6/1999,1322.55,16.45,41.02,166.2,5.9,1913.41,23.8,59.35,1303.524,
1/7/1999,1380.99,16.51,42,166.7,5.79,1991.97,23.82,60.58,1330.406,
1/8/1999,1327.49,16.58,42.98,167.1,5.94,1910.22,23.85,61.85,1339.572,
1/9/1999,1318.17,16.64,43.96,167.9,5.92,1887.77,23.83,62.96,1336.254,
1/10/1999,1300.01,16.66,45.36,168.2,6.11,1858.44,23.81,64.85,1329.842,
1/11/1999,1391,16.67,46.77,168.3,6.03,1987.33,23.82,66.82,1343.532,
1/12/1999,1428.68,16.69,48.17,168.3,6.28,2041.17,23.85,68.82,1353.07,
1/1/2000,1425.59,16.71,49.1,168.8,6.66,2030.72,23.81,69.94,1372.69,
1/2/2000,1388.87,16.74,50.02,169.8,6.52,1966.76,23.7,70.84,1386.83,
1/3/2000,1442.21,16.76,50.95,171.2,6.26,2025.59,23.54,71.56,1415.27,
1/4/2000,1461.36,16.74,51.27,171.3,5.99,2051.29,23.5,71.97,1429.342,
1/5/2000,1418.48,16.72,51.6,171.5,6.44,1988.78,23.44,72.34,1427.302,
1/6/2000,1461.96,16.7,51.92,172.4,6.1,2039.04,23.29,72.41,1434.576,
1/7/2000,1473,16.58,52.51,172.8,6.05,2049.68,23.08,73.07,1451.402,
1/8/2000,1485.46,16.47,53.11,172.8,5.83,2067.02,22.91,73.9,1460.052,
1/9/2000,1468.05,16.35,53.7,173.7,5.8,2032.21,22.63,74.34,1461.39,
1/10/2000,1390.14,16.32,52.47,174,5.74,1921.04,22.56,72.5,1455.722,
1/11/2000,1378.04,16.3,51.23,174.1,5.72,1903.23,22.51,70.76,1438.938,
1/12/2000,1330.93,16.27,50,174,5.24,1839.22,22.48,69.1,1410.524,
1/1/2001,1335.63,16.17,48.48,175.1,5.16,1834.12,22.21,66.57,1380.558,
1/2/2001,1305.75,16.07,46.96,175.8,5.1,1785.95,21.98,64.23,1348.098,
1/3/2001,1185.85,15.97,45.44,176.2,4.89,1618.27,21.79,62.01,1307.24,
1/4/2001,1189.84,15.88,42.56,176.9,5.14,1617.29,21.58,57.85,1269.6,
1/5/2001,1270.37,15.78,39.67,177.7,5.39,1718.98,21.36,53.68,1257.488,
1/6/2001,1238.71,15.69,36.79,178,5.28,1673.31,21.19,49.7,1238.104,
1/7/2001,1204.45,15.71,33.96,177.5,5.24,1631.62,21.28,46.01,1217.844,
1/8/2001,1178.5,15.72,31.14,177.5,4.97,1596.46,21.3,42.18,1216.374,
1/9/2001,1044.64,15.74,28.31,178.3,4.73,1408.78,21.23,38.18,1187.334,
1/10/2001,1076.59,15.74,27.1,177.7,4.57,1456.77,21.3,36.67,1148.578,
1/11/2001,1129.68,15.74,25.9,177.4,4.65,1531.19,21.33,35.1,1126.772,
1/12/2001,1144.93,15.74,24.69,176.7,5.09,1558.01,21.42,33.6,1114.868,
1/1/2002,1140.21,15.74,24.69,177.1,5.04,1548.08,21.37,33.53,1107.21,
1/2/2002,1100.67,15.73,24.7,177.8,4.91,1488.51,21.28,33.4,1118.416,
1/3/2002,1153.79,15.73,24.7,178.8,5.28,1551.62,21.15,33.22,1133.856,
1/4/2002,1111.93,15.83,25.38,179.8,5.21,1487.01,21.17,33.94,1130.306,
1/5/2002,1079.25,15.94,26.06,179.8,5.16,1443.31,21.31,34.85,1117.17,
1/6/2002,1014.02,16.04,26.74,179.9,4.93,1355.32,21.44,35.74,1091.932,
1/7/2002,903.59,15.96,27.84,180.1,4.65,1206.38,21.31,37.17,1052.516,
1/8/2002,912.55,15.88,28.94,180.7,4.26,1214.3,21.13,38.51,1004.268,
1/9/2002,867.81,15.8,30.04,181,3.87,1152.85,20.99,39.91,955.444,
1/10/2002,854.63,15.89,29.22,181.3,3.94,1133.46,21.07,38.76,910.52,
1/11/2002,909.93,15.98,28.41,181.3,4.05,1206.81,21.19,37.67,889.702,
1/12/2002,899.18,16.07,27.59,180.9,4.03,1195.19,21.36,36.67,888.82,
1/1/2003,895.84,16.12,28.5,181.7,4.05,1185.5,21.33,37.72,885.478,
1/2/2003,837.03,16.17,29.41,183.1,3.9,1099.21,21.23,38.62,879.322,
1/3/2003,846.63,16.22,30.32,184.2,3.81,1105.18,21.17,39.58,877.722,
1/4/2003,890.03,16.2,31.73,183.8,3.96,1164.36,21.2,41.51,873.742,
1/5/2003,935.96,16.19,33.14,183.5,3.57,1226.45,21.21,43.43,881.098,
1/6/2003,988,16.17,34.55,183.7,3.33,1293.23,21.17,45.22,899.53,
1/7/2003,992.54,16.31,35.89,183.9,3.98,1297.76,21.33,46.93,930.632,
1/8/2003,989.53,16.45,37.24,184.6,4.45,1288.92,21.43,48.5,959.212,
1/9/2003,1019.44,16.59,38.58,185.2,4.27,1323.57,21.54,50.09,985.094,
1/10/2003,1038.73,16.86,41.97,185,4.29,1350.08,21.91,54.55,1005.648,
1/11/2003,1049.9,17.12,45.35,184.5,4.3,1368.29,22.32,59.11,1018.028,
1/12/2003,1080.64,17.39,48.74,184.3,4.27,1409.88,22.69,63.59,1035.648,
