audit_year,Country,Hospital/Site,Hospital Beds (HC),Diabetic Patients (BA),Prevalence of diabetes,Percentage White,Percentage emergency,Percentage Mangement of diabetes,Percentage other medical,Percentage Non Medical,Percentage Diabetes Type 1,Percentage Diabetes Type 2 - Insulin,Percentage Diabetes Type 2 - Non insulin,Percentage Diabetes Type 2 - Diet only,Percentage Diabetes Type Other,Nursing hours,Consultant hours,Dietician hours,Podiatrist hours, Blood Glucose monitoring Days , Appropriate Days , Good Diabetes Days ,Visit by specialist diabetes team,Medication errors,prescription errors,management errors,Insulin Errors,Admitted with foot disease,Seen by the MDT within 24 hours,Foot Risk Assessment completed within 24 hours,Foot Risk Assessment completed during the hospital stay,% Severe Hypo,% Minor Hypo,Meals Suitable,Meals Timing,Meals Choice,Staff Knowledge - Answer Qs,Staff Knowledge - Emotional support,Staff Knowledge - Work together,Overall Satisfaction,Patient reported unexpected high,Patient reported unexpected low,Able to take control of diabetes care,Staff aware of diabetes,some all or most staff know enough about diabetes,Percentage renal replacement therapy
2011,England,Hospital,422,60,14.20%,93.10%,83.10%,8.30%,65.00%,26.70%,8.30%,21.70%,33.30%,33.30%,3.30%,1.1,0.17,0.07,0.05,6.9,6.7,4.78,41.70%,23.60%,10.90%,14.50%,14.50%,6.90%,50.00%,15.50%,31.90%,5.00%,23.30%,81.50%,70.80%,56.50%,62.50%,85.70%,39.30%,70.40%,18.50%,14.80%,73.90%,79.30%,69.20%,1.70%
2011,England,Hospital,242,43,17.80%,100.00%,95.20%,4.70%,62.80%,32.60%,9.30%,30.20%,41.90%,18.60%,0.00%,0.51,0.09,0.49,0.02,6.82,6.64,3.88,22.00%,33.30%,15.40%,20.50%,23.10%,0.00%,n/a,33.30%,39.10%,11.60%,20.90%,87.50%,81.30%,64.70%,54.50%,90.00%,44.40%,84.20%,18.80%,50.00%,68.80%,82.40%,62.50%,0.00%
2011,England,Hospital,350,40,11.40%,100.00%,95.00%,7.90%,73.70%,18.40%,7.50%,32.50%,42.50%,17.50%,0.00%,1.03,0.48,0.05,0.13,6.61,6.59,3.83,27.50%,35.90%,17.90%,23.10%,12.80%,8.60%,33.30%,13.50%,45.50%,5.00%,25.00%,95.80%,86.40%,78.90%,66.70%,84.20%,72.00%,92.00%,39.10%,26.10%,60.00%,88.00%,76.20%,2.50%
2011,England,Hospital,524,98,18.70%,70.40%,79.20%,9.40%,45.80%,44.80%,7.20%,33.00%,43.30%,15.50%,1.00%,0.2,0.03,0.05,0.09,6.82,5.9,3.59,23.20%,32.50%,22.90%,18.10%,18.10%,12.20%,28.60%,11.80%,33.30%,4.10%,23.50%,92.00%,72.90%,63.80%,41.90%,73.50%,46.00%,90.00%,27.10%,22.90%,66.70%,85.70%,71.40%,6.20%
2011,England,Hospital,616,82,13.30%,98.80%,87.50%,9.90%,63.00%,27.20%,10.00%,36.30%,35.00%,18.80%,0.00%,0.84,0.06,0.01, -   ,6.94,6.76,4.06,29.90%,34.70%,16.00%,25.30%,14.70%,7.80%,66.70%,16.90%,17.20%,8.50%,24.40%,86.70%,80.00%,82.10%,55.60%,94.40%,48.30%,83.30%,19.40%,12.90%,67.90%,93.80%,76.70%,0.00%
2011,England,Hospital,337,72,21.40%,77.60%,87.30%,13.90%,65.30%,20.80%,6.90%,40.30%,37.50%,15.30%,0.00%,0.42,0.22,0.06,0.19,6.76,5.59,3.63,44.10%,52.50%,40.70%,20.30%,27.10%,13.80%,100.00%,29.40%,13.80%,12.50%,38.90%,81.00%,68.40%,73.70%,61.10%,80.00%,54.20%,87.50%,40.00%,15.00%,85.70%,90.90%,57.10%,0.00%
2011,England,Hospital,343,36,10.50%,88.20%,80.00%,22.20%,52.80%,25.00%,14.70%,35.30%,26.50%,23.50%,0.00%,0.36,0.22, -   ,0.11,6.06,5.97,3.21,37.00%,27.30%,15.20%,18.20%,15.20%,11.50%,66.70%,25.90%,35.00%,13.90%,19.40%,77.80%,88.20%,66.70%,57.10%,85.70%,47.60%,81.00%,52.90%,23.50%,77.80%,77.80%,77.80%,0.00%
2011,England,Hospital,462,70,15.20%,98.60%,87.00%,11.40%,62.90%,25.70%,4.30%,31.40%,47.10%,15.70%,1.40%,0.41,0.21,0.11,0.07,6.87,6.43,3.94,29.70%,25.40%,19.40%,10.40%,7.50%,11.10%,85.70%,43.50%,26.90%,11.40%,21.40%,84.00%,87.50%,75.00%,52.90%,100.00%,59.30%,88.90%,15.40%,26.90%,81.80%,96.20%,64.00%,1.50%
2011,England,Hospital,303,37,12.20%,100.00%,97.30%,8.10%,70.30%,21.60%,0.00%,48.60%,34.30%,14.30%,2.90%,0.49,0.16, -   , -   ,6.94,6.6,3.53,40.00%,27.30%,18.20%,12.10%,15.20%,11.40%,100.00%,29.70%,19.60%,13.50%,32.40%,88.90%,72.20%,66.70%,66.70%,77.80%,33.30%,70.00%,15.80%,42.10%,76.50%,90.00%,68.40%,5.40%
2011,England,Hospital,371,74,19.90%,86.10%,90.50%,6.80%,77.00%,16.20%,5.40%,37.80%,40.50%,16.20%,0.00%,0.78,0.3,0.18,0.03,6.89,6.36,3.48,37.80%,33.80%,16.20%,25.00%,16.20%,7.70%,60.00%,27.90%,11.50%,13.50%,25.70%,92.00%,78.60%,73.80%,54.30%,85.70%,41.70%,83.70%,36.00%,36.00%,63.00%,86.30%,58.00%,0.00%
