Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy
0,2011,England,Hospital,422,60,0.142,0.931,0.831,0.083,0.65,0.267,0.083,0.217,0.333,0.333,0.033,1.1,0.17,0.07,0.05,6.9,6.7,4.78,0.417,0.236,0.109,0.145,0.145,0.069,0.5,0.155,0.319,0.05,0.233,0.815,0.708,0.565,0.625,0.857,0.393,0.704,0.185,0.148,0.739,0.793,0.692,0.017
1,2011,England,Hospital,242,43,0.178,1,0.952,0.047,0.628,0.326,0.093,0.302,0.419,0.186,0,0.51,0.09,0.49,0.02,6.82,6.64,3.88,0.22,0.333,0.154,0.205,0.231,0,0.875,0.333,0.391,0.116,0.209,0.875,0.813,0.647,0.545,0.9,0.444,0.842,0.188,0.5,0.688,0.824,0.625,0
2,2011,England,Hospital,350,40,0.114,1,0.95,0.079,0.737,0.184,0.075,0.325,0.425,0.175,0,1.03,0.48,0.05,0.13,6.61,6.59,3.83,0.275,0.359,0.179,0.231,0.128,0.086,0.333,0.135,0.455,0.05,0.25,0.958,0.864,0.789,0.667,0.842,0.72,0.92,0.391,0.261,0.6,0.88,0.762,0.025
3,2011,England,Hospital,524,98,0.187,0.704,0.792,0.094,0.458,0.448,0.072,0.33,0.433,0.155,0.01,0.2,0.03,0.05,0.09,6.82,5.9,3.59,0.232,0.325,0.229,0.181,0.181,0.122,0.286,0.118,0.333,0.041,0.235,0.92,0.729,0.638,0.419,0.735,0.46,0.9,0.271,0.229,0.667,0.857,0.714,0.062
4,2011,England,Hospital,616,82,0.133,0.988,0.875,0.099,0.63,0.272,0.1,0.363,0.35,0.188,0,0.84,0.06,0.01,0.11,6.94,6.76,4.06,0.299,0.347,0.16,0.253,0.147,0.078,0.667,0.169,0.172,0.085,0.244,0.867,0.8,0.821,0.556,0.944,0.483,0.833,0.194,0.129,0.679,0.938,0.767,0
5,2011,England,Hospital,337,72,0.214,0.776,0.873,0.139,0.653,0.208,0.069,0.403,0.375,0.153,0,0.42,0.22,0.06,0.19,6.76,5.59,3.63,0.441,0.525,0.407,0.203,0.271,0.138,1,0.294,0.138,0.125,0.389,0.81,0.684,0.737,0.611,0.8,0.542,0.875,0.4,0.15,0.857,0.909,0.571,0
6,2011,England,Hospital,343,36,0.105,0.882,0.8,0.222,0.528,0.25,0.147,0.353,0.265,0.235,0,0.36,0.22,0.25,0.11,6.06,5.97,3.21,0.37,0.273,0.152,0.182,0.152,0.115,0.667,0.259,0.35,0.139,0.194,0.778,0.882,0.667,0.571,0.857,0.476,0.81,0.529,0.235,0.778,0.778,0.778,0
7,2011,England,Hospital,462,70,0.152,0.986,0.87,0.114,0.629,0.257,0.043,0.314,0.471,0.157,0.014,0.41,0.21,0.11,0.07,6.87,6.43,3.94,0.297,0.254,0.194,0.104,0.075,0.111,0.857,0.435,0.269,0.114,0.214,0.84,0.875,0.75,0.529,1,0.593,0.889,0.154,0.269,0.818,0.962,0.64,0.015
8,2011,England,Hospital,303,37,0.122,1,0.973,0.081,0.703,0.216,0,0.486,0.343,0.143,0.029,0.49,0.16,0.13,0.07,6.94,6.6,3.53,0.4,0.273,0.182,0.121,0.152,0.114,1,0.297,0.196,0.135,0.324,0.889,0.722,0.667,0.667,0.778,0.333,0.7,0.158,0.421,0.765,0.9,0.684,0.054
9,2011,England,Hospital,371,74,0.199,0.861,0.905,0.068,0.77,0.162,0.054,0.378,0.405,0.162,0,0.78,0.3,0.18,0.03,6.89,6.36,3.48,0.378,0.338,0.162,0.25,0.162,0.077,0.6,0.279,0.115,0.135,0.257,0.92,0.786,0.738,0.543,0.857,0.417,0.837,0.36,0.36,0.63,0.863,0.58,0
10,2011,England,Site,677,95,0.14,0.989,0.853,0.084,0.579,0.337,0.053,0.309,0.362,0.266,0.011,0.53,0.05,0.12,0.05,6.47,6.08,4.32,0.154,0.351,0.284,0.216,0.23,0.08,0.667,0.095,0.063,0.126,0.242,0.873,0.758,0.75,0.462,0.826,0.485,0.768,0.284,0.254,0.548,0.722,0.559,0.011
11,2011,England,Hospital,403,58,0.144,1,0.947,0.158,0.772,0.07,0.088,0.386,0.439,0.088,0,0.53,0.34,0.6,0.17,6.73,6.35,4.87,0.268,0.292,0.146,0.167,0.104,0.17,0.25,0.167,0.236,0.155,0.293,0.944,0.844,0.853,0.579,0.917,0.595,0.811,0.229,0.2,0.742,0.914,0.778,0
12,2011,England,Hospital,234,37,0.158,1,0.973,0.054,0.703,0.243,0.054,0.162,0.486,0.27,0.027,1.08,0.05,0.27,0.03,6.72,6.2,4.45,0.118,0.235,0.206,0.176,0.206,0.094,0.333,0.273,0.351,0.027,0.108,0.786,0.923,0.654,0.556,0.941,0.481,0.893,0.143,0.214,0.783,0.778,0.519,0
13,2011,England,Hospital,292,63,0.216,0.887,0.839,0.095,0.667,0.238,0.049,0.377,0.41,0.164,0,0.59,0.19,0.22,0.04,6.79,6.49,3.8,0.32,0.279,0.098,0.246,0.131,0.151,1,0.231,0.255,0.079,0.19,0.952,0.881,0.929,0.818,0.95,0.524,0.909,0.289,0.2,0.5,0.889,0.721,0
14,2011,England,Hospital,248,52,0.21,0.404,0.769,0.059,0.686,0.255,0.078,0.451,0.373,0.078,0.02,0.77,0.31,0.15,0.15,6.82,6.66,4.47,0.412,0.367,0.245,0.163,0.122,0.104,0.8,0.146,0.189,0.173,0.173,0.739,0.524,0.35,0.316,0.714,0.52,0.76,0.174,0.304,0.429,0.583,0.542,0.019
15,2011,England,Hospital,489,86,0.176,0.753,0.907,0.081,0.709,0.209,0.012,0.306,0.541,0.141,0,0.69,0.23,0.15,0.03,6.86,5.83,3.84,0.381,0.341,0.207,0.232,0.134,0.096,0.429,0.048,0.167,0.163,0.291,0.875,0.864,0.625,0.5,0.722,0.32,0.87,0.308,0.154,0.538,0.808,0.72,0
16,2011,England,Hospital,591,92,0.156,0.988,0.868,0.11,0.637,0.253,0.055,0.253,0.451,0.242,0,0.71,0.07,0.2,0.07,6.72,6.14,4.37,0.253,0.253,0.229,0.06,0.133,0.113,0.778,0.175,0.224,0.054,0.12,0.72,0.6,0.52,0.421,0.818,0.5,0.731,0.28,0.2,0.75,0.8,0.538,0
