,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy
0,0,2011,England,Hospital,422.0,60,0.142,0.9309999999999999,0.831,0.083,0.65,0.267,0.083,0.217,0.33299999999999996,0.33299999999999996,0.033,0.011000000000000001,0.17,0.07,0.05,0.069,0.067,0.0478,0.41700000000000004,0.23600000000000002,0.109,0.145,0.145,0.069,0.5,0.155,0.319,0.05,0.233,0.815,0.708,0.565,0.625,0.857,0.39299999999999996,0.7040000000000001,0.185,0.14800000000000002,0.7390000000000001,0.7929999999999999,0.6920000000000001,0.017
1,1,2011,England,Hospital,242.0,43,0.17800000000000002,1.0,0.9520000000000001,0.047,0.628,0.326,0.09300000000000001,0.302,0.419,0.18600000000000003,0.0,0.51,0.09,0.49,0.02,0.0682,0.0664,0.0388,0.22,0.33299999999999996,0.154,0.205,0.231,0.0,0.667,0.33299999999999996,0.391,0.11599999999999999,0.209,0.875,0.813,0.647,0.545,0.9,0.444,0.8420000000000001,0.188,0.5,0.688,0.8240000000000001,0.625,0.0
2,2,2011,England,Hospital,350.0,40,0.114,1.0,0.95,0.079,0.737,0.184,0.075,0.325,0.425,0.175,0.0,0.0103,0.48,0.05,0.13,0.0661,0.0659,0.0383,0.275,0.359,0.179,0.231,0.128,0.086,0.33299999999999996,0.135,0.455,0.05,0.25,0.958,0.8640000000000001,0.789,0.667,0.8420000000000001,0.72,0.92,0.391,0.261,0.6,0.88,0.762,0.025
3,3,2011,England,Hospital,524.0,98,0.187,0.7040000000000001,0.792,0.094,0.45799999999999996,0.44799999999999995,0.07200000000000001,0.33,0.433,0.155,0.01,0.2,0.03,0.05,0.09,0.0682,0.059000000000000004,0.0359,0.23199999999999998,0.325,0.22899999999999998,0.18100000000000002,0.18100000000000002,0.122,0.28600000000000003,0.11800000000000001,0.33299999999999996,0.040999999999999995,0.235,0.92,0.7290000000000001,0.638,0.419,0.735,0.46,0.9,0.271,0.22899999999999998,0.667,0.857,0.7140000000000001,0.062
4,4,2011,England,Hospital,616.0,82,0.133,0.988,0.875,0.099,0.63,0.272,0.1,0.363,0.35,0.188,0.0,0.84,0.06,0.01,0.04,0.0694,0.0676,0.0406,0.299,0.34700000000000003,0.16,0.253,0.147,0.078,0.667,0.16899999999999998,0.172,0.085,0.244,0.867,0.8,0.821,0.556,0.9440000000000001,0.483,0.833,0.19399999999999998,0.129,0.679,0.938,0.767,0.0
5,5,2011,England,Hospital,337.0,72,0.214,0.7759999999999999,0.873,0.139,0.653,0.20800000000000002,0.069,0.40299999999999997,0.375,0.153,0.0,0.42,0.22,0.06,0.19,0.0676,0.0559,0.0363,0.441,0.525,0.40700000000000003,0.203,0.271,0.138,1.0,0.294,0.138,0.125,0.389,0.81,0.684,0.737,0.611,0.8,0.542,0.875,0.4,0.15,0.857,0.909,0.5710000000000001,0.0
6,6,2011,England,Hospital,343.0,36,0.105,0.882,0.8,0.222,0.528,0.25,0.147,0.353,0.265,0.235,0.0,0.36,0.22,0.0,0.11,0.060599999999999994,0.059699999999999996,0.0321,0.37,0.273,0.152,0.182,0.152,0.115,0.667,0.259,0.35,0.139,0.19399999999999998,0.778,0.882,0.667,0.5710000000000001,0.857,0.47600000000000003,0.81,0.529,0.235,0.778,0.778,0.778,0.0
7,7,2011,England,Hospital,462.0,70,0.152,0.986,0.87,0.114,0.629,0.257,0.043,0.314,0.47100000000000003,0.157,0.013999999999999999,0.41,0.21,0.11,0.07,0.0687,0.0643,0.0394,0.297,0.254,0.19399999999999998,0.10400000000000001,0.075,0.111,0.857,0.435,0.26899999999999996,0.114,0.214,0.84,0.875,0.75,0.529,1.0,0.593,0.889,0.154,0.26899999999999996,0.818,0.9620000000000001,0.64,0.015
8,8,2011,England,Hospital,303.0,37,0.122,1.0,0.973,0.081,0.703,0.21600000000000003,0.0,0.486,0.34299999999999997,0.14300000000000002,0.028999999999999998,0.49,0.16,0.25,0.02,0.0694,0.066,0.0353,0.4,0.273,0.182,0.121,0.152,0.114,1.0,0.297,0.196,0.135,0.324,0.889,0.722,0.667,0.667,0.778,0.33299999999999996,0.7,0.158,0.42100000000000004,0.765,0.9,0.684,0.054000000000000006
9,9,2011,England,Hospital,371.0,74,0.19899999999999998,0.861,0.905,0.068,0.77,0.162,0.054000000000000006,0.37799999999999995,0.405,0.162,0.0,0.78,0.3,0.18,0.03,0.0689,0.0636,0.0348,0.37799999999999995,0.33799999999999997,0.162,0.25,0.162,0.077,0.6,0.27899999999999997,0.115,0.135,0.257,0.92,0.7859999999999999,0.738,0.5429999999999999,0.857,0.41700000000000004,0.8370000000000001,0.36,0.36,0.63,0.863,0.58,0.0
10,10,2011,England,Site,677.0,95,0.14,0.9890000000000001,0.853,0.084,0.579,0.337,0.053,0.309,0.36200000000000004,0.266,0.011000000000000001,0.53,0.05,0.12,0.05,0.0647,0.0608,0.0432,0.154,0.35100000000000003,0.284,0.21600000000000003,0.23,0.08,0.667,0.095,0.063,0.126,0.242,0.873,0.758,0.75,0.462,0.826,0.485,0.768,0.284,0.254,0.5479999999999999,0.722,0.5589999999999999,0.011000000000000001
11,11,2011,England,Hospital,403.0,58,0.14400000000000002,1.0,0.9470000000000001,0.158,0.772,0.07,0.08800000000000001,0.386,0.439,0.08800000000000001,0.0,0.43,0.34,0.6,0.17,0.0673,0.0635,0.0487,0.268,0.292,0.146,0.16699999999999998,0.10400000000000001,0.17,0.25,0.16699999999999998,0.23600000000000002,0.155,0.293,0.9440000000000001,0.8440000000000001,0.853,0.579,0.917,0.595,0.8109999999999999,0.22899999999999998,0.2,0.742,0.914,0.778,0.0
12,12,2011,England,Hospital,234.0,37,0.158,1.0,0.973,0.054000000000000006,0.703,0.243,0.054000000000000006,0.162,0.486,0.27,0.027000000000000003,0.0108,0.05,0.27,0.03,0.0672,0.062,0.044500000000000005,0.11800000000000001,0.235,0.20600000000000002,0.17600000000000002,0.20600000000000002,0.094,0.33299999999999996,0.273,0.35100000000000003,0.027000000000000003,0.10800000000000001,0.7859999999999999,0.9229999999999999,0.654,0.556,0.941,0.48100000000000004,0.893,0.14300000000000002,0.214,0.7829999999999999,0.778,0.519,0.0
13,13,2011,England,Hospital,292.0,63,0.21600000000000003,0.887,0.8390000000000001,0.095,0.667,0.23800000000000002,0.049,0.377,0.41,0.16399999999999998,0.0,0.59,0.19,0.22,0.17,0.0679,0.0649,0.038,0.32,0.27899999999999997,0.098,0.24600000000000002,0.131,0.151,1.0,0.231,0.255,0.079,0.19,0.9520000000000001,0.8809999999999999,0.929,0.818,0.95,0.524,0.909,0.289,0.2,0.5,0.889,0.721,0.0
