Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
0,0,2011,England,Hospital,422,60,0.142,0.931,0.831,0.083,0.65,0.267,0.083,0.217,0.333,0.333,0.033,0.011,0.17,0.07,0.05,0.069,0.067,0.0478,0.417,0.236,0.109,0.145,0.145,0.069,0.5,0.155,0.319,0.05,0.233,0.815,0.708,0.565,0.625,0.857,0.393,0.704,0.185,0.148,0.739,0.793,0.692,0.017,1.4031486169,-0.784072891,0.6960612579,-0.93837738,-0.645146922,1.0247327081,-0.262692327,-0.031605265,0.7653915034,-0.482458081
1,1,2011,England,Hospital,242,43,0.178,1,0.952,0.047,0.628,0.326,0.093,0.302,0.419,0.186,0,0.51,0.09,0.49,0.02,0.0682,0.0664,0.0388,0.22,0.333,0.154,0.205,0.231,0,0.667,0.333,0.391,0.116,0.209,0.875,0.813,0.647,0.545,0.9,0.444,0.842,0.188,0.5,0.688,0.824,0.625,0,0.5758061302,-0.357486817,-0.165356369,-0.10923775,0.0412656126,0.8078503285,-1.283394128,-0.153889769,0.6604493712,0.8930644614
2,2,2011,England,Hospital,350,40,0.114,1,0.95,0.079,0.737,0.184,0.075,0.325,0.425,0.175,0,0.0103,0.48,0.05,0.13,0.0661,0.0659,0.0383,0.275,0.359,0.179,0.231,0.128,0.086,0.333,0.135,0.455,0.05,0.25,0.958,0.864,0.789,0.667,0.842,0.72,0.92,0.391,0.261,0.6,0.88,0.762,0.025,1.0172790288,1.15142426,-0.220747126,0.9933606525,-0.725128818,-0.530789309,-0.491805429,0.5639992354,-0.753952705,-0.075176424
3,3,2011,England,Hospital,524,98,0.187,0.704,0.792,0.094,0.458,0.448,0.072,0.33,0.433,0.155,0.01,0.2,0.03,0.05,0.09,0.0682,0.059,0.0359,0.232,0.325,0.229,0.181,0.181,0.122,0.286,0.118,0.333,0.041,0.235,0.92,0.729,0.638,0.419,0.735,0.46,0.9,0.271,0.229,0.667,0.857,0.714,0.062,-0.005017749,0.4911361782,-1.036198331,-1.050756299,-0.024020242,0.5888318291,-0.290583504,0.1653146992,-0.115802924,-0.826446573
4,4,2011,England,Hospital,616,82,0.133,0.988,0.875,0.099,0.63,0.272,0.1,0.363,0.35,0.188,0,0.84,0.06,0.01,0.04,0.0694,0.0676,0.0406,0.299,0.347,0.16,0.253,0.147,0.078,0.667,0.169,0.172,0.085,0.244,0.867,0.8,0.821,0.556,0.944,0.483,0.833,0.194,0.129,0.679,0.938,0.767,0,0.9835536105,1.1477061326,-1.023263996,-0.314013801,0.0567882986,1.895567684,-0.662519846,-0.303158265,0.2911245802,0.3847828809
5,5,2011,England,Hospital,337,72,0.214,0.776,0.873,0.139,0.653,0.208,0.069,0.403,0.375,0.153,0,0.42,0.22,0.06,0.19,0.0676,0.0559,0.0363,0.441,0.525,0.407,0.203,0.271,0.138,1,0.294,0.138,0.125,0.389,0.81,0.684,0.737,0.611,0.8,0.542,0.875,0.4,0.15,0.857,0.909,0.571,0,-1.050700298,-0.272498064,-1.628482779,0.5113857404,1.4116812152,0.2647689194,-0.174705896,-1.191905152,1.6283315028,0.3552273885
6,6,2011,England,Hospital,343,36,0.105,0.882,0.8,0.222,0.528,0.25,0.147,0.353,0.265,0.235,0,0.36,0.22,0,0.11,0.0606,0.0597,0.0321,0.37,0.273,0.152,0.182,0.152,0.115,0.667,0.259,0.35,0.139,0.194,0.778,0.882,0.667,0.571,0.857,0.476,0.81,0.529,0.235,0.778,0.778,0.778,0,1.202422556,-0.08626788,-1.515084835,-0.815440751,0.9593740818,-0.732862615,-0.140643018,-0.351673257,0.4845168789,0.6245587402
7,7,2011,England,Hospital,462,70,0.152,0.986,0.87,0.114,0.629,0.257,0.043,0.314,0.471,0.157,0.014,0.41,0.21,0.11,0.07,0.0687,0.0643,0.0394,0.297,0.254,0.194,0.104,0.075,0.111,0.857,0.435,0.269,0.114,0.214,0.84,0.875,0.75,0.529,1,0.593,0.889,0.154,0.269,0.818,0.962,0.64,0.015,2.4700565426,0.1533752649,-0.848342831,-0.303150228,0.6390953244,1.4421057868,-0.328083436,-0.24410217,0.4816914773,0.5185212701
8,8,2011,England,Hospital,303,37,0.122,1,0.973,0.081,0.703,0.216,0,0.486,0.343,0.143,0.029,0.49,0.16,0.25,0.02,0.0694,0.066,0.0353,0.4,0.273,0.182,0.121,0.152,0.114,1,0.297,0.196,0.135,0.324,0.889,0.722,0.667,0.667,0.778,0.333,0.7,0.158,0.421,0.765,0.9,0.684,0.054,1.3717563043,0.1775678601,-0.012962428,-0.62572421,0.4032468155,0.890198543,0.1852348053,-0.548306059,1.3427969002,0.6271844376
9,9,2011,England,Hospital,371,74,0.199,0.861,0.905,0.068,0.77,0.162,0.054,0.378,0.405,0.162,0,0.78,0.3,0.18,0.03,0.0689,0.0636,0.0348,0.378,0.338,0.162,0.25,0.162,0.077,0.6,0.279,0.115,0.135,0.257,0.92,0.786,0.738,0.543,0.857,0.417,0.837,0.36,0.36,0.63,0.863,0.58,0,0.3697859653,0.3265605288,-0.728803917,-0.726194865,-0.161433844,0.4509904967,-0.974410032,-0.45091675,0.2283311263,0.7983536077
10,10,2011,England,Site,677,95,0.14,0.989,0.853,0.084,0.579,0.337,0.053,0.309,0.362,0.266,0.011,0.53,0.05,0.12,0.05,0.0647,0.0608,0.0432,0.154,0.351,0.284,0.216,0.23,0.08,0.667,0.095,0.063,0.126,0.242,0.873,0.758,0.75,0.462,0.826,0.485,0.768,0.284,0.254,0.548,0.722,0.559,0.011,-0.846291683,-0.200219805,-1.782871385,-1.391278292,-0.318595987,0.6051034128,-1.226746204,1.5598295707,0.2194457493,0.0542220168
11,11,2011,England,Hospital,403,58,0.144,1,0.947,0.158,0.772,0.07,0.088,0.386,0.439,0.088,0,0.43,0.34,0.6,0.17,0.0673,0.0635,0.0487,0.268,0.292,0.146,0.167,0.104,0.17,0.25,0.167,0.236,0.155,0.293,0.944,0.844,0.853,0.579,0.917,0.595,0.811,0.229,0.2,0.742,0.914,0.778,0,2.260504563,0.0847899612,-1.058715978,0.9632657371,-1.317111827,0.7200544101,-0.228614528,-0.023542574,-0.306022065,0.0083336217
