,bed,no_of_audits,prevalence_diabetes,percentage_white,percentage_emergency,percentage_mangement,percentage_other_medical,percentage_non_medical,dt1,dt2_insulin,dt2_non_insulin,dt2_diet_only,dt_other,nursing_hours,consultant_hours,dietician_hours,podiatrist_hours,blood_glucose_monitoring_days,appropriate_days,good_diabetes_days,visit_by_specialist_diabetes_team,medication_errors,prescription_errors,management_errors,insulin_errors,admitted_with_foot disease,seen_by_mdft_within_24_hours,foot_risk_assessment_within_24_hours,foot_risk_assessment_within_stay,severe_hypo,minor_hypo,meals_suitable,meals_timing,meals_choice,staff_knowledge_q&a,staff_knowledge_eq,staff_knowledge_collective,overall_satisfaction,patient_reported _unexpected_high,patient_reported_unexpected_low,able_to_take_control_of_care,staff_aware_diabetes,some_or_most_staff_aware_diabetes,renal_replacement
0,422.0,60.0,0.14,0.93,0.83,0.08,0.65,0.27,0.08,0.22,0.33,0.33,0.03,1.1,0.17,0.07,0.05,6.9,6.7,4.78,0.41700000000000004,0.23600000000000002,0.109,0.145,0.145,0.069,0.5,0.155,0.319,0.05,0.233,0.815,0.708,0.565,0.625,0.857,0.39299999999999996,0.7040000000000001,0.185,0.14800000000000002,0.7390000000000001,0.7929999999999999,0.6920000000000001,0.017
1,242.0,43.0,0.18,1.0,0.95,0.05,0.63,0.33,0.09,0.3,0.42,0.19,0.0,0.51,0.09,0.49,0.02,6.82,6.64,3.88,0.22,0.33299999999999996,0.154,0.205,0.231,0.0,0.6180609718983497,0.33299999999999996,0.391,0.11599999999999999,0.209,0.875,0.813,0.647,0.545,0.9,0.444,0.8420000000000001,0.188,0.5,0.688,0.8240000000000001,0.625,0.0
2,350.0,40.0,0.11,1.0,0.95,0.08,0.74,0.18,0.08,0.33,0.43,0.18,0.0,1.03,0.48,0.05,0.13,6.61,6.59,3.83,0.275,0.359,0.179,0.231,0.128,0.086,0.33299999999999996,0.135,0.455,0.05,0.25,0.958,0.8640000000000001,0.789,0.667,0.8420000000000001,0.72,0.92,0.391,0.261,0.6,0.88,0.762,0.025
3,524.0,98.0,0.19,0.7,0.79,0.09,0.46,0.45,0.07,0.33,0.43,0.16,0.01,0.2,0.03,0.05,0.09,6.82,5.9,3.59,0.23199999999999998,0.325,0.22899999999999998,0.18100000000000002,0.18100000000000002,0.122,0.28600000000000003,0.11800000000000001,0.33299999999999996,0.040999999999999995,0.235,0.92,0.7290000000000001,0.638,0.419,0.735,0.46,0.9,0.271,0.22899999999999998,0.667,0.857,0.7140000000000001,0.062
4,616.0,82.0,0.13,0.99,0.88,0.1,0.63,0.27,0.1,0.36,0.35,0.19,0.0,0.84,0.06,0.01,0.21322805932323144,6.94,6.76,4.06,0.299,0.34700000000000003,0.16,0.253,0.147,0.078,0.667,0.16899999999999998,0.172,0.085,0.244,0.867,0.8,0.821,0.556,0.9440000000000001,0.483,0.833,0.19399999999999998,0.129,0.679,0.938,0.767,0.0
5,337.0,72.0,0.21,0.78,0.87,0.14,0.65,0.21,0.07,0.4,0.38,0.15,0.0,0.42,0.22,0.06,0.19,6.76,5.59,3.63,0.441,0.525,0.40700000000000003,0.203,0.271,0.138,1.0,0.294,0.138,0.125,0.389,0.81,0.684,0.737,0.611,0.8,0.542,0.875,0.4,0.15,0.857,0.909,0.5710000000000001,0.0
6,343.0,36.0,0.11,0.88,0.8,0.22,0.53,0.25,0.15,0.35,0.27,0.24,0.0,0.36,0.22,0.0,0.11,6.06,5.97,3.21,0.37,0.273,0.152,0.182,0.152,0.115,0.667,0.259,0.35,0.139,0.19399999999999998,0.778,0.882,0.667,0.5710000000000001,0.857,0.47600000000000003,0.81,0.529,0.235,0.778,0.778,0.778,0.0
7,462.0,70.0,0.15,0.99,0.87,0.11,0.63,0.26,0.04,0.31,0.47,0.16,0.01,0.41,0.21,0.11,0.07,6.87,6.43,3.94,0.297,0.254,0.19399999999999998,0.10400000000000001,0.075,0.111,0.857,0.435,0.26899999999999996,0.114,0.214,0.84,0.875,0.75,0.529,1.0,0.593,0.889,0.154,0.26899999999999996,0.818,0.9620000000000001,0.64,0.015
8,303.0,37.0,0.12,1.0,0.97,0.08,0.7,0.22,0.0,0.49,0.34,0.14,0.03,0.49,0.16,0.11393845845398502,0.08071155765886907,6.94,6.6,3.53,0.4,0.273,0.182,0.121,0.152,0.114,1.0,0.297,0.196,0.135,0.324,0.889,0.722,0.667,0.667,0.778,0.33299999999999996,0.7,0.158,0.42100000000000004,0.765,0.9,0.684,0.054000000000000006
9,371.0,74.0,0.2,0.86,0.91,0.07,0.77,0.16,0.05,0.38,0.41,0.16,0.0,0.78,0.3,0.18,0.03,6.89,6.36,3.48,0.37799999999999995,0.33799999999999997,0.162,0.25,0.162,0.077,0.6,0.27899999999999997,0.115,0.135,0.257,0.92,0.7859999999999999,0.738,0.5429999999999999,0.857,0.41700000000000004,0.8370000000000001,0.36,0.36,0.63,0.863,0.58,0.0
