grant_call,closing_date,total_grants_awarded
2nd Thematic Call for Proposals on Satellite Technologies,2015-03-27,10556000
Directed Call for Proposals on Smart Grid,2014-09-10,11379014
Directed Call for Proposals on Gas/LNG Technologies,2014-09-08,15784569
Directed Call for Research Proposals in Increasing Energy Recovery of Advanced Thermal Treatment Technologies for Municipal Solid Waste (MSW) Management,2015-08-31,3600900
National Cybersecurity R&D Laboratory (NCL),2015-09-18,0
14/2014 - Competitive Research Programme (CRP) 14th Call (Open/General),2015-02-12,26380752
13/2014 - Competitve Research Programme (CRP) 13th Call (Open/General),2014-08-29,0
"[EIRP07]Directed call for Proposals on Innovations to achieve cost reductions in crystalline-silicon solar wafers, cells and modules and Proposals on Innovations in managing intermittency of solar energy",2014-09-17,9639000
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 010),2014-12-24,5063000
Inaugural Cybersecurity Research and Development Grant Call,2014-06-30,34567000
EWI Open Call 13/01 for Water Technologies,2013-09-25,39393213
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,2013-09-08,14154000
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules",2013-09-08,15585000
Land and Liveability (L2) NIC First Call for Proposals,2014-06-09,0
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,2013-09-09,11108096
12/2013 - Competitive Research Programme (CRP) 12th Call (Open/General),2014-01-31,0
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),2014-01-09,5867000
EWI Challenge Request-for-Proposal (RFP) on Achieving ?93% Water Recovery from Membrane Bioreactor Filtrate,2012-04-24,1862800
11/2012 - Competitive Research Programme (CRP) 11th Call (Open/General),2013-05-30,0
Thematic Call for Proposals on innovative satellite technologies,2013-10-04,12801600
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),2012-12-09,49651757
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),2012-06-12,39545563
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",2012-09-14,9630125
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,2009-05-05,3619000
NRF Proof-of-Concept (POC) 9th Grant Call,2013-03-01,2095464
NRF Proof-of-Concept (POC) 6th Grant Call,2011-07-29,2841000
NRF Proof-of-Concept (POC) 7th Grant Call,2012-03-05,2535686
"Directed call for proposals on cost reductions through innovations in crystalline silicon PV materials, cells, modules and systems and Proposals on innovations in recycling of silicon wafers, cells and modules",2012-09-02,11053400
9/2011 - Competitive Research Programme (CRP) 9th Call (Track B: Energy-related Competitive Research Programme (CRP)),2012-07-08,11985000
NRF Proof-of-Concept (POC) 8th Grant Call,2012-08-30,0
Assessing 21st Century Competencies - IDM Challenge Phase 1,2012-07-01,325860
8/2011 General Competitive Research Programme (CRP) call,2011-11-17,62168931
(For Selected Applicants Only) Directed Requested for Proposal (RFP) on Achieving >50% Used Water Recycling / Water Conservation in Industries (EWI RFP 11/01),2011-05-03,3013300
Directed call for proposals on improving silicon wafer-based solar cell manufacturing processes and technologies and Proposals on thin-film solar cells based on the chalcopyrite materials system,2011-09-18,15735000
