grant_call,awarded_project,recipient,organisation
2nd Thematic Call for Proposals on Satellite Technologies,Radiation Hardened Power Management for Nanosatellites: Intelligent Monolithic Point-of-Load DC/DC -cum- Single Event Latchup Protection (iMPDCSELP),Prof. CHANG Joseph,Nanyang Technological University
2nd Thematic Call for Proposals on Satellite Technologies,"Regional Air Quality Monitoring and Forecasting using Remote Sensing Satellites, Ground-level Measurements and Numerical Modeling",Dr. SALINAS CORTIJO Santo Valentin,National University of Singapore
2nd Thematic Call for Proposals on Satellite Technologies,"Operational derivation of water quality, water depth and sea bottom type from remote sensing satellite data",Dr. LIEW Soo Chin,National University of Singapore
2nd Thematic Call for Proposals on Satellite Technologies,2.X. Radiation-Resilient Microcontroller for Small-Satellite Applications,Dr. LIU Xin,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,2.5.Wafer-level optically-fed steerable antenna for low-mass satellite communication systems (Resubmission),Dr. ZHOU Haifeng,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,1.X. Innovative Phased Array Synthetic Aperture Radar System on Chip for Satellite Applications [This is an improved proposal (ref. NRF2013SAS-SRP001-022) recommended for resubmission by PEP],Prof. ZHENG Yuanjin,Nanyang Technological University
2nd Thematic Call for Proposals on Satellite Technologies,2.4. Linearized Gbps X-Band Transmitter for Small Satellites,Dr. SHI Bo,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,GER: Gradually Expanded Rotamak-Like Plasma Thruster,Prof. XU Shuyan,National Institute of Education
2nd Thematic Call for Proposals on Satellite Technologies,GaN based DC/DC Converters for Solar Powered Nano-satellites,Dr. SINGH Ravinder Pal,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,RAMP Rate Power Injection Demonstrator (RAPID),Dr. ULLAH Inam,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,Novel Hierarchical Transactive Energy Management System Incorporating Predictive Assessment Techniques for Enhanced Community Market Participation,Prof. GOOI Hoay Beng,Nanyang Technological University
Directed Call for Proposals on Smart Grid,SELF-REGULATING INTEGRATED ELECTRICITY-COOLING NETWORKS (IE-CN),Dr. LEE Shiang Long,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,PoPSeCo: Power Plant Security by Advanced Sensing and Computing,Prof. YAU David,Singapore University of Technology and Design
Directed Call for Proposals on Smart Grid,Securing Last-Mile Communication Systems for Smart Grids (Full Proposal),Dr. WU Yongdong,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Gas/LNG Technologies,Advanced Multi-Sensor Anomaly Monitoring and Analytics for Gas Pipeline,Prof. UKIL Abhisek,Nanyang Technological University
Directed Call for Proposals on Gas/LNG Technologies,Using Cold Energy from Re-gasification of Liquefied Natural Gas (LNG) for Novel Hybrid Seawater Desalination Technologies,Prof. CHUNG Tai-shung (neal),National University of Singapore
